#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
111,Senegal,39782,51,1091,1,38511,70,180,19,2327,64,464096,27152,17,92,352,430,15667,37,
112,Zimbabwe,37751,52,1553,1,35019,14,1179,12,2511,103,402475,26770,15,34,611,398,9681,37,
113,Malawi,33941,7,1138,,31764,25,1039,15,1739,58,227166,11637,19,520,380,575,17153,86,
114,Madagascar,32205,588,542,4,25798,327,5865,294,1140,19,166522,5894,28,253,307,877,52128,170,
115,Sudan,31790,,2208,,25539,,4043,,712,49,232965,5217,44,658,737,1405,20226,192,
116,Malta,29966,39,409,,28962,52,595,,67723,924,846001,1911953,442,480,15,1082,1,,
117,Australia,29513,19,910,,26435,12,2168,,1147,35,16353769,635470,25,734,931,872,28280,2,
118,DRC,28956,62,745,,25841,,2370,,316,8,145038,1582,91,707,797,3167,123098,632,
119,Maldives,26348,203,70,1,23591,109,2687,53,48072,128,686624,1252760,548,89,21,7830,1,,
120,Angola,24389,89,561,,22597,21,1231,20,724,17,445121,13219,33,671,949,1381,60021,76,
121,Rwanda,23888,22,325,3,22241,159,1322,6,1809,25,1256919,95178,13,205,919,553,40634,11,
122,Mongolia,21995,1340,44,3,11877,427,10074,88,6625,13,2554027,769249,3,320,156,151,75458,1,
123,Gabon,21858,,133,,18507,,3218,20,9641,59,687026,303021,2,267,253,104,17047,3,
124,Guinea,21460,,138,,18882,,2440,24,1600,10,419860,31300,13,413,994,625,97203,32,
125,Syria,21142,138,1446,9,14841,120,4855,,1185,81,103566,5806,17,836,656,844,12335,172,
126,Cabo Verde,20466,212,192,2,18041,77,2233,23,36495,342,142081,253360,560,786,27,2921,4,,
127,Mayotte,19757,,168,,2964,,16625,6,71064,604,165683,595943,278,18,14,1655,2,,
128,French Polynesia,18696,,141,,4842,,13713,1,66251,500,26355,93391,282,201,15,2001,11,,
