#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
144,Guyana,11044,86,252,,9688,112,1104,14,13989,319,98199,124381,789,502,71,3133,,
145,Lesotho,10707,,315,,4674,203,5718,,4967,146,70285,32608,2,155,435,201,6843,
146,South Sudan,10359,19,114,,10090,,155,,917,10,138774,12286,11,295,469,1090,99083,
147,Congo,10084,,137,,8208,,1739,,1793,24,92500,16451,5,622,812,558,41042,
148,Aruba,10016,58,92,,9351,68,573,14,93504,859,134854,1258929,107,118,11,1164,,
149,Djibouti,9722,60,94,,7763,212,1865,,9731,94,138936,139058,999,126,103,10629,,
150,Bahamas,9364,,189,,8837,,338,4,23637,477,79493,200659,396,160,42,2096,,
151,Suriname,9278,13,179,1,8654,7,445,9,15706,303,45980,77838,590,711,64,3300,,
152,Martinique,9028,,57,,98,,8873,5,24072,152,133358,355585,375,38,42,6580,,
153,Trinidad and Tobago,8382,59,145,,7723,11,514,14,5974,103,115591,82388,1,403,13,167,9676,
154,Papua New Guinea,8342,341,68,,846,,7428,,919,7,70260,7740,9,78,24,1088,133500,
155,Benin,7515,,93,,6452,,970,35,608,8,548484,44347,12,367,868,1646,132988,
156,Equatorial Guinea,7219,160,106,2,6799,116,314,11,5019,74,115364,80203,1,438,395,199,13570,
157,Nicaragua,6727,,179,,4225,,2323,,1006,27,,,6,685,654,994,37350,
158,Iceland,6258,,29,,6126,,103,,18247,85,558666,1628940,342,963,55,11826,,
159,Gambia,5602,38,168,2,5145,34,289,3,2269,68,59297,24017,2,468,937,441,14696,
160,CAR,5491,26,74,,5056,,361,2,1122,15,40907,8357,4,894,717,891,66145,
161,Yemen,5276,43,1031,9,2027,40,2218,23,174,34,20872,688,30,333,35,5749,29421,
162,Niger,5072,10,188,,4747,1,137,1,204,8,93345,3752,24,878,798,4905,132334,
163,San Marino,4959,15,85,,4480,61,394,10,145909,2501,55935,1645776,33,987,7,400,,
164,Chad,4625,6,167,,4286,7,172,,275,10,110863,6603,16,788,636,3630,100531,
165,Seychelles,4395,,24,,4091,,280,,44475,243,21504,217608,98,820,22,4118,,
166,Saint Lucia,4347,18,64,,4160,17,123,3,23589,347,37489,203436,184,279,42,2879,,
167,Gibraltar,4277,,94,,4180,2,3,,126978,2791,219283,6510198,33,683,8,358,,
168,Cambodia,4081,477,26,2,2080,96,1975,,242,2,744516,44059,16,898,196,4141,649931,
